"1","3","25","30","45","55","80","70","21","35","20"
4952068.85023892,321716.589582733,157892.247679182,25169.9589547711,0,38.9794305690754,5671.78806511536,0,0,14749.9117724066,0
0,4756513.05459367,7192.57593604816,83339.7314995099,0,43608.2493100323,34972.0385753366,0,0,513.735754766541,27899.3691601293
0,0,14959223.8645915,25680.100786492,0,526.050076990549,88879.6098179026,0,0,0,0
0,0,0,702252.725320664,0,33091.2726235454,55387.1806544703,0,0,0,0
0,0,0,0,3124.32017968284,0,0,79390.5695705241,0,0,0
0,0,0,0,0,355709.60506734,11850.8130936929,0,0,52.0762184215064,607.933446717608
0,0,0,0,0,0,3407582.14363816,0,0,56061.3017967322,0
0,0,0,0,0,0,0,5225060.42897057,0,0,0
0,0,0,0,0,0,0,0,785567.144,0,0
0,0,0,0,0,0,0,0,0,74180.6023110959,0
0,0,0,0,0,0,0,0,0,0,1365940.35028519
