"30","25","60","1","50","35","20","80","21","40","65"
30085301.4674332,1414484.33212809,0,0,21522.3756760392,0,2329.60396760643,6937.71507979617,0,0,0
0,72031261.4491361,0,414342.625165801,197648.035486991,3427.46006872139,1127227.93307557,0,106636.925087361,0,0
0,0,11077245.6125258,0,0,0,72117.256642381,0,0,6445.81497587961,38405.5371107199
0,0,0,8339343.46842256,1646064.78041568,0,0,1058.49684836932,0,0,0
0,0,0,0,8993533.72902302,0,0,0,0,0,0
0,0,0,0,0,616948.996040541,0,0,0,0,0
0,0,0,0,0,0,1996018.59566119,0,1464.67888416947,0,0
0,0,0,0,0,0,0,264807.992064837,0,0,0
0,0,0,0,0,0,0,0,22517.0012716727,0,0
0,0,0,0,0,0,0,0,0,331408.923480807,0
0,0,0,0,0,0,0,0,0,0,391153.927488622
