"25","60","30","50","80","1","35","20","21"
9838525.52260264,0,30520.9888886959,1047.75589141424,0,0,1710.28666272667,35975.8814072129,71329.9108027241
0,1089539.506,0,0,0,0,0,0,0
0,0,2595245.50552753,207444.114280178,5772.34849484945,109417.568156619,12466.8911356117,1255.03817182305,0
0,0,0,45143.7972421018,0,97347.6286711566,1276.33856914563,26.5689913537666,0
0,0,0,0,480201.468763382,0,0,0,0
0,0,0,0,0,2666198.72796506,3.11754089401044,6.17375278906831,0
0,0,0,0,0,0,131379.236814,0.20786895096007,0
0,0,0,0,0,0,0,140897.338638895,3866.00205613472
0,0,0,0,0,0,0,0,23895.2886610212
