"30","55","70","1","3","45","25","80","35","20"
7955878.30467295,58252.864681,996.598102012964,71013.4729701931,22905.99062747,0,538671.458896187,12.7783897348205,42544.3534134197,61689.4301815461
0,597635.736080107,0,20221.6255609943,13112.8718691063,377.655845168061,9962.4954186695,5355.63734039837,5314.82346910073,0
0,0,51503310.8275618,1043.33382319184,40.1405181879511,1656104.97813175,0,0,0,0
0,0,0,2028579.26931371,228786.136917153,0,68722.9434263538,751.700336296492,400.229947700278,0
0,0,0,0,335899.912078165,0,64186.2403234699,130.688266814731,32.7749745293193,0
0,0,0,0,0,361382.276220149,0,1676.57592555391,0,0
0,0,0,0,0,0,9110495.5401643,1173.29636899212,20706.4774516579,0
0,0,0,0,0,0,0,192950.656941202,10289.9893072787,1408.04589562093
0,0,0,0,0,0,0,0,653111.237046527,0
0,0,0,0,0,0,0,0,0,2426705.54931366
