"30","35","25","55","70","1","3","20","40","45"
10792740.0421545,18.1172502650019,2497851.71282487,59946.0442168993,0,74732.8165635644,2431.79909013012,30872.9686753646,0,0
0,212005.251255181,5507.58247958665,1998.83923374622,0,23.7315645369352,0,0,0,0
0,0,47430384.7132445,162034.550891114,103026.391938382,467443.071868239,431930.767564534,199047.3186699,34382.727093222,37580.5715071167
0,0,0,5461334.03591877,2115.20660022005,47116.0284734234,81396.9614491497,0,0,537.919469745799
0,0,0,0,6316123.18832099,0,0,0,0,154293.742394572
0,0,0,0,0,653888.120516437,75229.0008964739,6799.41671875564,0,0
0,0,0,0,0,0,1408343.2726043,8.41045685424691,0,0
0,0,0,0,0,0,0,988830.858143212,0,0
0,0,0,0,0,0,0,0,1084536.73148693,0
0,0,0,0,0,0,0,0,0,133560.54188349
