"70","3","55","60","65","45","20","80","35","1"
160998420.398822,0,0,0,0,6827374.84955309,0,56984.2654861957,0,0
0,354995.104698133,50683.8127093682,1408.78343720867,4260.35359755516,0,8436.07151883699,5382.74219841708,13.8432933944528,37433.8530299923
0,0,164675.905504651,0,120437.397733681,1632.19905658232,12457.3077654996,11352.8091013836,370.736271704118,0
0,0,0,8375024.47821829,1340.895715863,0,0,2053.72966963947,0,0
0,0,0,0,19136973.6013891,0,199524.155548612,163147.129344211,1260.04359100448,0
0,0,0,0,0,331024.947646395,0,2992.1518449371,398.508581654411,507.325451094528
0,0,0,0,0,0,5413672.00419946,3064.81158478354,0,0
0,0,0,0,0,0,0,2142311.02134113,10538.5261133575,1574.11336208495
0,0,0,0,0,0,0,0,666322.519213276,3257.92969000875
0,0,0,0,0,0,0,0,0,2601779.93879206
