"1","3","30","80","70","35","25","55","20"
17094408.9365445,590836.30092722,124968.784087616,26624.5008245446,0,14064.1373192689,269362.659712111,0,0
0,5225528.0216487,155888.305721224,57837.892084044,0,6635.15039059261,7209.74913055464,49166.5569183148,23988.7339396876
0,0,2677336.25901695,83618.7232102635,0,46181.0568088019,54895.6704674656,17119.7594512416,0
0,0,0,3020556.1520371,0,119385.532829779,2265.72487521875,12667.8177720492,9018.42267532237
0,0,0,0,3344170.4448,0,0,0,0
0,0,0,0,0,195760.462043465,79.054592975562,1633.93569248443,0
0,0,0,0,0,0,2136212.47439378,0.151478046464723,1377.30472459249
0,0,0,0,0,0,0,64516.950930898,2798.73904898673
0,0,0,0,0,0,0,0,2235973.45930065
