"30","25","60","35","20","50","1","80","40","65"
5631909.84009976,115579.346492886,0,0,0,20613.7510852828,0,721.974598456702,0,0
0,83509887.0751026,0,0,1248205.59114393,56013.355639557,305362.74109452,0,0,0
0,0,4542894.47498871,0,6953.74973428386,0,0,0,0,43114.700300409
0,0,0,503049.0528,0,0,0,0,0,0
0,0,0,0,712539.207556788,0,0,0,0,0
0,0,0,0,0,8128313.04291692,1543812.56860343,0,0,0
0,0,0,0,0,0,4364953.94011285,2886.49366104971,0,0
0,0,0,0,0,0,0,133506.329579002,0,0
0,0,0,0,0,0,0,0,173011.89,0
0,0,0,0,0,0,0,0,0,1590.20180283276
