"45","70","80","55","3","25","1","30","20"
1966452.24923478,3266667.28018225,31863.3297463455,5464.93484220352,4036.05912760707,3243.21472434169,762.692516701536,22734.3463936304,0
0,31732073.4670128,0,1405.76225688763,0,0,0,0,0
0,0,230811.033572643,28564.0359833278,30283.0353560433,25859.1303813599,308.75195532954,19590.5742079723,3496.01890534239
0,0,0,56482.1083529935,18617.9381010056,10943.6370354114,3692.6006746096,6842.31302369017,0
0,0,0,0,1411673.7210246,122803.777352258,310658.12464064,48098.1711432847,0
0,0,0,0,0,16612827.5048304,115329.969519269,249140.671590181,44383.336987684
0,0,0,0,0,0,2437139.75899469,76509.4020156999,0
0,0,0,0,0,0,0,2169726.70752522,9660.3016923116
0,0,0,0,0,0,0,0,7081505.4060996
